Date,Close
4/24/2017 16:00:00,66.25
4/25/2017 16:00:00,67.12
4/26/2017 16:00:00,68.22
4/27/2017 16:00:00,68.58
4/28/2017 16:00:00,68.55
5/1/2017 16:00:00,68.11
5/2/2017 16:00:00,68.59
5/3/2017 16:00:00,67.21
5/4/2017 16:00:00,68.08
5/5/2017 16:00:00,67.8
5/8/2017 16:00:00,67.21
5/9/2017 16:00:00,67.61
5/10/2017 16:00:00,66.92
5/11/2017 16:00:00,66.71
5/12/2017 16:00:00,66.06
5/15/2017 16:00:00,65.95
5/16/2017 16:00:00,65.72
5/17/2017 16:00:00,64.51
5/18/2017 16:00:00,64.43
5/19/2017 16:00:00,64.23
5/22/2017 16:00:00,64.36
5/23/2017 16:00:00,64.69
5/24/2017 16:00:00,64.31
5/25/2017 16:00:00,64.56
5/26/2017 16:00:00,64.5
5/30/2017 16:00:00,64.49
5/31/2017 16:00:00,64.89
6/1/2017 16:00:00,64.62
6/2/2017 16:00:00,65.4
6/5/2017 16:00:00,65.48
6/6/2017 16:00:00,64.85
6/7/2017 16:00:00,64.32
6/8/2017 16:00:00,64.12
6/9/2017 16:00:00,64.7
6/12/2017 16:00:00,65.43
6/13/2017 16:00:00,65.15
6/14/2017 16:00:00,64.99
6/15/2017 16:00:00,64.81
6/16/2017 16:00:00,64.12
6/19/2017 16:00:00,64.82
6/20/2017 16:00:00,65.59
6/21/2017 16:00:00,67.5
6/22/2017 16:00:00,70.48
6/23/2017 16:00:00,70.52
6/26/2017 16:00:00,71.24
6/27/2017 16:00:00,70.65
6/28/2017 16:00:00,71.92
6/29/2017 16:00:00,70.86
6/30/2017 16:00:00,70.78
7/3/2017 16:00:00,70.7
7/5/2017 16:00:00,70.86
7/6/2017 16:00:00,69.48
7/7/2017 16:00:00,69.25
7/10/2017 16:00:00,69.29
7/11/2017 16:00:00,69.35
7/12/2017 16:00:00,69.8
7/13/2017 16:00:00,70.58
7/14/2017 16:00:00,70.57
7/17/2017 16:00:00,71.15
7/18/2017 16:00:00,71.69
7/19/2017 16:00:00,72.72
7/20/2017 16:00:00,73.42
7/21/2017 16:00:00,73.76
7/24/2017 16:00:00,74.39
7/25/2017 16:00:00,73.74
7/26/2017 16:00:00,74.19
7/27/2017 16:00:00,74.96
7/28/2017 16:00:00,75.94
7/31/2017 16:00:00,76.09
8/1/2017 16:00:00,75.7
8/2/2017 16:00:00,75.84
8/3/2017 16:00:00,74.37
8/4/2017 16:00:00,73.16
8/7/2017 16:00:00,73.44
8/8/2017 16:00:00,73.27
8/9/2017 16:00:00,73.9
8/10/2017 16:00:00,72.7
8/11/2017 16:00:00,72.4
8/14/2017 16:00:00,72.81
8/15/2017 16:00:00,73.12
8/16/2017 16:00:00,73.35
8/17/2017 16:00:00,72.34
8/18/2017 16:00:00,72.11
8/21/2017 16:00:00,72.6
8/22/2017 16:00:00,73.34
8/23/2017 16:00:00,73.74
8/24/2017 16:00:00,74.02
8/25/2017 16:00:00,73.79
8/28/2017 16:00:00,74.69
8/29/2017 16:00:00,75.74
8/30/2017 16:00:00,81.23
8/31/2017 16:00:00,83.71
9/1/2017 16:00:00,83.75
9/5/2017 16:00:00,82.56
9/6/2017 16:00:00,82.95
9/7/2017 16:00:00,85.47
9/8/2017 16:00:00,85.1
9/11/2017 16:00:00,84.52
9/12/2017 16:00:00,84.51
9/13/2017 16:00:00,83.68
9/14/2017 16:00:00,82.29
9/15/2017 16:00:00,82.36
9/18/2017 16:00:00,82.97
9/19/2017 16:00:00,82.29
9/20/2017 16:00:00,82.64
9/21/2017 16:00:00,82.62
9/22/2017 16:00:00,83.27
9/25/2017 16:00:00,83.61
9/26/2017 16:00:00,83.76
9/27/2017 16:00:00,83.86
9/28/2017 16:00:00,80.91
9/29/2017 16:00:00,81.02
10/2/2017 16:00:00,83.52
10/3/2017 16:00:00,83.19
10/4/2017 16:00:00,82.42
10/5/2017 16:00:00,83.51
10/6/2017 16:00:00,82.14
10/9/2017 16:00:00,81.98
10/10/2017 16:00:00,83.04
10/11/2017 16:00:00,82.57
10/12/2017 16:00:00,81.3
10/13/2017 16:00:00,81.17
10/16/2017 16:00:00,79.95
10/17/2017 16:00:00,80.24
10/18/2017 16:00:00,80.01
10/19/2017 16:00:00,81.59
10/20/2017 16:00:00,81.21
10/23/2017 16:00:00,80.17
10/24/2017 16:00:00,80.1
10/25/2017 16:00:00,79.89
10/26/2017 16:00:00,77.88
10/27/2017 16:00:00,77.07
10/30/2017 16:00:00,75.99
10/31/2017 16:00:00,74.96
11/1/2017 16:00:00,74.83
11/2/2017 16:00:00,73.81
11/3/2017 16:00:00,73.46
11/6/2017 16:00:00,72.38
11/7/2017 16:00:00,73.21
11/8/2017 16:00:00,73.1
11/9/2017 16:00:00,73.02
11/10/2017 16:00:00,73.77
11/13/2017 16:00:00,72.85
11/14/2017 16:00:00,71.15
11/15/2017 16:00:00,71.81
11/16/2017 16:00:00,72.41
11/17/2017 16:00:00,72.44
11/20/2017 16:00:00,72.13
11/21/2017 16:00:00,72.51
11/22/2017 16:00:00,72.82
11/24/2017 13:00:00,72.46
11/27/2017 16:00:00,71.7
11/28/2017 16:00:00,72.59
11/29/2017 16:00:00,73.67
11/30/2017 16:00:00,74.78
12/1/2017 16:00:00,75.34
12/4/2017 16:00:00,73.09
12/5/2017 16:00:00,73.29
12/6/2017 16:00:00,73.29
12/7/2017 16:00:00,72.72
12/8/2017 16:00:00,74.22
12/11/2017 16:00:00,75.88
12/12/2017 16:00:00,76.09
12/13/2017 16:00:00,76.58
12/14/2017 16:00:00,74.34
12/15/2017 16:00:00,75.57
12/18/2017 16:00:00,75.13
12/19/2017 16:00:00,74.35
12/20/2017 16:00:00,74.01
12/21/2017 16:00:00,73.02
12/22/2017 16:00:00,72.71
12/26/2017 16:00:00,72.7
12/27/2017 16:00:00,72.98
12/28/2017 16:00:00,72.48
12/29/2017 16:00:00,71.64
1/2/2018 16:00:00,74.1
1/3/2018 16:00:00,74.66
1/4/2018 16:00:00,73.9
1/5/2018 16:00:00,74.52
1/8/2018 16:00:00,74.4
1/9/2018 16:00:00,78.1
1/10/2018 16:00:00,78.71
1/11/2018 16:00:00,79.06
1/12/2018 16:00:00,79.02
1/16/2018 16:00:00,80.25
1/17/2018 16:00:00,81.74
1/18/2018 16:00:00,81.17
1/19/2018 16:00:00,80.98
1/22/2018 16:00:00,81.41
1/23/2018 16:00:00,80.95
1/24/2018 16:00:00,81.3
1/25/2018 16:00:00,81.19
1/26/2018 16:00:00,85.46
1/29/2018 16:00:00,88.8
1/30/2018 16:00:00,87.29
1/31/2018 16:00:00,83.8
2/1/2018 16:00:00,83.49
2/2/2018 16:00:00,81.73
2/5/2018 16:00:00,78.37
2/6/2018 16:00:00,80.38
2/7/2018 16:00:00,82.76
2/8/2018 16:00:00,78.22
2/9/2018 16:00:00,79.32
2/12/2018 16:00:00,80.14
2/13/2018 16:00:00,80.79
2/14/2018 16:00:00,81.82
2/15/2018 16:00:00,81.55
