Date,sp_500,Algo 1,Algo 2,SOROS FUND MANAGEMENT LLC,PAULSON & CO.INC. ,TIGER GLOBAL MANAGEMENT LLC,BERKSHIRE HATHAWAY INC
2015-03-03,-0.004538606491954589,-0.0019421252396008989,-0.00094948280783875,-0.001265507519080944,-0.004980519330323507,-0.0004955323147710633,-0.006568669777734182
2015-03-04,-0.0043885035440131,-0.008588804344439656,0.002416211178215323,0.002229912547255797,0.0032412804609494032,-0.002533976773233637,0.004213019161491749
2015-03-05,0.0011960753479816066,-0.0009550484118562592,0.004323159262439931,0.0040160016412460475,0.004076052738837932,0.002354656751653028,0.006726329822673628
2015-03-06,-0.014173932909416154,-0.004956742501772183,-0.011460322256425464,-0.007905357447513195,-0.0035740337066856314,-0.008481173398287467,-0.013098061052771559
2015-03-09,0.003944458928381467,-0.005447051037350121,0.0013032210820465436,0.0005822796500871696,0.004225410051669876,0.0058427361834103575,-0.0016524551597966175
2015-03-10,-0.016961378839393415,-0.001391591055610689,-0.012155355276125414,-0.010262967064432194,-0.005340723544381865,-0.012079153900654949,-0.00973902847346475
2015-03-11,-0.0019176581089542788,0.0029938682993379128,0.0006047570224750865,0.004011920804301239,0.005163143041366114,0.003311825534341617,-0.0011466764438018413
2015-03-12,0.012601458651923192,-0.0029347226325733018,0.01166711472714095,0.008264629904709553,0.010271618586934705,0.013116890191381849,0.010801417639620059
2015-03-13,-0.006074687189912553,-0.005422820763899867,-0.0050615125472071145,-0.0024972745488313075,-0.0014284161547658547,-0.0036971872087163678,-0.008142217554344078
2015-03-16,0.01353365150482122,-0.0033947008517206307,0.004117349966125877,0.007900621038590128,0.0035825339926776056,0.007953004700508082,0.008054624464487016
2015-03-17,-0.003320215838054086,-0.0028215751007008784,0.0012736303296958461,0.0021419035463847713,0.0029281064224944147,-0.0006871817837931228,0.0003843565322338982
2015-03-18,0.012158435698169878,0.014428505688474084,0.006268774345286114,0.0096027594185788,0.007513096940720888,0.009556879660320485,0.007853525209598589
2015-03-19,-0.004872588711598014,-0.017888450917289727,0.0008289589314832325,-0.0007784772838256293,-0.002554227088800154,-0.002925094247420934,0.002362936779625846
2015-03-20,0.009012717360609157,0.003833993384335896,0.0044040197807629815,0.009657299920258877,0.0009833771991436537,0.007390779343419139,0.007104656222237881
2015-03-23,-0.0017456477396706749,0.015172028604802637,0.0015187517429181775,-6.674185755528583e-05,-0.0005134996079992903,-0.00010875250463526775,0.0005910985542618707
2015-03-24,-0.006139458853270718,0.008758308475910272,-0.0008850201155692234,-0.002570522859054014,-0.004808023033385789,-0.0033209258633954963,-0.0010129942802968859
2015-03-25,-0.014558928998326448,0.012464184052280659,-0.016861934432931942,-0.0061561972301420465,-0.00801835649090854,-0.011171537109587404,-0.01456730091558589
2015-03-26,-0.0023774289803740745,0.003445537834295072,-0.0019786963312758343,-0.002097879511120504,-0.0005929135940357932,-0.0010345354638604534,-0.0012116232367689328
2015-03-27,0.002368504243367431,0.0010162284232885523,0.005186846395174799,-7.500987092434741e-05,0.00208788887197886,0.0021895850459361377,0.0047757069040683655
2015-03-30,0.012236659518102488,0.004634692752564468,0.008232108649664636,0.008112673837378015,0.0022196864505061864,0.008616824167264614,0.005227894737318328
2015-03-31,-0.008795728200015285,0.002325101494630172,-0.003281211517511165,-0.005444593035665911,-0.003021171365903963,-0.003968001009204802,0.001858059928447897
2015-04-01,-0.003965394677666545,-0.0029557565907136034,0.0030050338356002533,0.0009185284392367877,0.00015681460690863958,-0.0020015371371282513,-0.003865395879651068
2015-04-02,0.0035296573756244953,0.0008806626841772867,0.004874030826472386,0.0025612955246112623,0.004299033605891678,0.0030581297294201004,0.0019664295861856478
2015-04-06,0.006608739404729613,-0.003297720055626588,0.006361652371502624,0.0053675938373412,0.003763107812597921,0.004631173547838818,0.004920474854035239
2015-04-07,-0.0020618853995443276,0.001992028583441489,-0.0025929143709967034,-0.0012426093488774324,-0.00017147901153424794,-0.002059815495209283,0.0018822503277511336
2015-04-08,0.0026826178882932705,0.006402071678674068,0.003733781992412006,0.006185462951682208,0.012652294060936377,0.0034520158692838976,0.012351575407502756
2015-04-09,0.004457466737115112,-0.0055031965896383105,-0.0013455390466196534,0.004035615722158825,0.003231503924234102,-0.0004526192269821427,-0.0019046826373734227
2015-04-10,0.005202804158417784,0.005130121259046954,0.0050762032014447355,-9.020228232836658e-05,0.0012302134085697693,0.0023858735430219986,0.0016613984204190135
2015-04-13,-0.004581220326727142,-0.0038562188533572735,-0.0014411972312528259,-0.0034476111013995725,-0.0027663436845037914,-0.004071747684724625,-0.0030737823271473896
2015-04-14,0.0016296841471401535,0.0007889803050976536,0.003273780804349855,0.00339277468154342,0.002021444307747977,0.002141971059023584,0.00751595574483388
2015-04-15,0.005148293762882616,-0.0037465750366107928,0.007682682677610466,0.004755769631757056,0.001752668241457922,0.0037539453460255783,0.004871806276386614
2015-04-16,-0.0007784945624055295,-0.0026706582702504056,0.0016670862304736516,-0.002110842077479802,-0.003231826089307055,0.0005101247353624938,0.00010247338402780136
2015-04-17,-0.01131121763048748,-0.0001937609476412791,-0.010692103798205578,-0.009431567974872324,-0.00220096291200389,-0.010617455640682729,-0.01304566724637135
2015-04-20,0.009235145446333526,0.0014677851357706015,0.004798668077081445,-0.0005075730406374213,0.0012387450416291301,0.006252428779520924,0.0007800969363398469
2015-04-21,-0.0014806703485050754,0.004552450935519696,-0.0017939112367590512,0.004265720071742196,0.004629488538310689,0.004878592034447182,0.007804664259848381
